anno;scalo;nazionali/internazionali;arrivi/partenze;numero passeggeri
2008;Linate;internazionali;partenze;1276717
2008;Malpensa;nazionali;arrivi;870745
2008;Malpensa;nazionali;partenze;857906
2008;Malpensa;internazionali;arrivi;8708887
2008;Malpensa;internazionali;partenze;8576648
2008;Orio al Serio;nazionali;arrivi;581050
2008;Orio al Serio;nazionali;partenze;578352
2008;Orio al Serio;internazionali;arrivi;2635152
2008;Orio al Serio;internazionali;partenze;2668037
2007;Linate;nazionali;arrivi;3728231
2007;Linate;nazionali;partenze;3667404
2007;Linate;internazionali;arrivi;1261549
2007;Linate;internazionali;partenze;1267374
2007;Malpensa;nazionali;arrivi;1555625
2007;Malpensa;nazionali;partenze;1533655
2007;Malpensa;internazionali;arrivi;10368721
2007;Malpensa;internazionali;partenze;10259176
2007;Orio al Serio;nazionali;arrivi;429069
2007;Orio al Serio;nazionali;partenze;430642
2007;Orio al Serio;internazionali;arrivi;2423931
2007;Orio al Serio;internazionali;partenze;2436839
2006;Linate;nazionali;arrivi;3453711
2006;Linate;nazionali;partenze;3453622
2006;Linate;internazionali;arrivi;1257842
2006;Linate;internazionali;partenze;1257886
2006;Malpensa;nazionali;arrivi;1563210
2006;Malpensa;nazionali;partenze;1563212
2006;Malpensa;internazionali;arrivi;9023462
2006;Malpensa;internazionali;partenze;9023457
2006;Orio al Serio;nazionali;arrivi;376714
2006;Orio al Serio;nazionali;partenze;376705
2006;Orio al Serio;internazionali;arrivi;2223106
2006;Orio al Serio;internazionali;partenze;2223111
2005;Linate;nazionali;arrivi;3337287
2005;Linate;nazionali;partenze;3257407
2005;Linate;internazionali;arrivi;1225809
2005;Linate;internazionali;partenze;1265496
2005;Malpensa;nazionali;arrivi;1564981
2005;Malpensa;nazionali;partenze;1556174
2005;Malpensa;internazionali;arrivi;8166156
2005;Malpensa;internazionali;partenze;8211847
2005;Orio al Serio;nazionali;arrivi;266045
2005;Orio al Serio;nazionali;partenze;267064
2005;Orio al Serio;internazionali;arrivi;1870093
2005;Orio al Serio;internazionali;partenze;1888037
2004;Linate;nazionali;arrivi;3213294
2004;Linate;nazionali;partenze;3150314
2004;Linate;internazionali;arrivi;1282753
2004;Linate;internazionali;partenze;1298630
2004;Malpensa;nazionali;arrivi;1729949
2004;Malpensa;nazionali;partenze;1727829
2004;Malpensa;internazionali;arrivi;7508108
2004;Malpensa;internazionali;partenze;7455712
2004;Orio al Serio;nazionali;arrivi;205525
2004;Orio al Serio;nazionali;partenze;203524
2004;Orio al Serio;internazionali;arrivi;1449362
2004;Orio al Serio;internazionali;partenze;1454139
2003;Linate;nazionali;arrivi;3228204
2003;Linate;nazionali;partenze;3169573
2003;Linate;internazionali;arrivi;1159606
2003;Linate;internazionali;partenze;1198588
2003;Malpensa;nazionali;arrivi;1934476
2003;Malpensa;nazionali;partenze;1928529
2003;Malpensa;internazionali;arrivi;6830719
2003;Malpensa;internazionali;partenze;6820996
2003;Orio al Serio;nazionali;arrivi;143425
2003;Orio al Serio;nazionali;partenze;142057
2003;Orio al Serio;internazionali;arrivi;1263215
2003;Orio al Serio;internazionali;partenze;1274049
